기존 변수명,새 변수명,설명
DATA_YM,작성월,데이터가 작성된 월
AREA_ID,상권코드,상권 코드
AREA_NM,상권명,상권 명칭
DIST_CD,지역코드,상권 위치한 지역 코드
DIST_NM,지역명,상권 위치한 지역 명칭
TOTAL_BIDG,건물수,상권 내 건물 수
FAC_NEIGH_1,1층생활시설수,상권 내 1층 생활편의시설 수
FAC_NEIGH_2,2층생활시설수,상권 내 2층 생활편의시설 수
FAC_CULT_MTG,문화집회시설수,상권 내 문화 및 집회시설 수
FAC_RELG,종교시설수,상권 내 종교시설 수
FAC_RETAIL,판매시설수,상권 내 판매시설 수
FAC_MEDI,의료시설수,상권 내 의료시설 수
FAC_YOSE,아동노인복지시설수,상권 내 아동 및 노인복지시설 수
FAC_TRAIN,수련시설수,상권 내 수련시설 수
FAC_SPORT,운동시설수,상권 내 운동시설 수
FAC_STAY,숙박시설수,상권 내 숙박시설 수
FAC_LEISURE,여가및오락시설수,상권 내 여가 및 오락시설 수
TOTAL_GAS,총가스사용량,상권 내 모든 건물의 가스 총 사용량
CMRC_GAS,상업용가스사용량,상권 내 상업용 가스 사용량
TOTAL_ELEC,총전기사용량,상권 내 모든 건물의 전기 총 사용량
