작성월	지역코드	지역명	상권코드	상권명	총건물수	1층생활시설수	2층생활시설수	문화집회시설수	종교시설수	판매시설수	의료시설수	아동노인복지시설수	수련시설수	운동시설수	숙박시설수	여가및오락시설수	총가스사용량	상업용가스사용량	총전기사용량	month	year
2022-07-01	11110	종로구	9166	경복궁역_1	161.0	36.0	55.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	264544	257328	535.99	7	2022
2022-08-01	11110	종로구	9166	경복궁역_1	161.0	36.0	55.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	268483	259377	575.824	8	2022
2022-10-01	11110	종로구	9166	경복궁역_1	161.0	36.0	55.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	312080	299796	356.913	10	2022
2022-10-01	11110	종로구	9166	경복궁역_1	161.0	36.0	55.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	312080	299796	356.913	10	2022
2022-11-01	11110	종로구	9166	경복궁역_1	161.0	36.0	55.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	397970	380066	351.15	11	2022
2023-01-01	11110	종로구	9166	경복궁역_1	161.0	36.0	55.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	478390	426998	551.683	1	2023
2023-01-01	11110	종로구	9166	경복궁역_1	161.0	36.0	55.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	505875	451965	512.551	1	2023
2023-03-01	11110	종로구	9166	경복궁역_1	161.0	36.0	56.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	420523	401215	361.635	3	2023
2023-03-01	11110	종로구	9166	경복궁역_1	161.0	36.0	56.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	368878	351095	351.153	3	2023
2023-06-01	11110	종로구	9166	경복궁역_1	161.0	36.0	56.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	323359	310399	433.734	6	2023
2023-07-01	11110	종로구	9166	경복궁역_1	161.0	37.0	56.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	263384	251912	513.582	7	2023
2023-08-01	11110	종로구	9166	경복궁역_1	7.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	460403	62660	1479.057	8	2023
2023-09-01	11110	종로구	9166	경복궁역_1	7.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	342162	36487	1302.625	9	2023
2023-10-01	11110	종로구	9166	경복궁역_1	161.0	37.0	56.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	322190	320805	331.914	10	2023
2023-11-01	11110	종로구	9166	경복궁역_1	161.0	37.0	56.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	372973	371695	360.016	11	2023
2023-12-01	11110	종로구	9166	경복궁역_1	163.0	38.0	57.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	389193	388109	441.04	12	2023
