작성월	지역코드	지역명	상권코드	상권명	총건물수	1층생활시설수	2층생활시설수	문화집회시설수	종교시설수	판매시설수	의료시설수	아동노인복지시설수	수련시설수	운동시설수	숙박시설수	여가및오락시설수	총가스사용량	상업용가스사용량	총전기사용량
202207	11110	종로구	9166	경복궁역_1	161.0	36.0	55.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	264544	257328	535.99
202208	11110	종로구	9166	경복궁역_1	161.0	36.0	55.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	268483	259377	575.824
202210	11110	종로구	9166	경복궁역_1	161.0	36.0	55.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	312080	299796	356.913
202210	11110	종로구	9166	경복궁역_1	161.0	36.0	55.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	312080	299796	356.913
202211	11110	종로구	9166	경복궁역_1	161.0	36.0	55.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	397970	380066	351.15
202301	11110	종로구	9166	경복궁역_1	161.0	36.0	55.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	478390	426998	551.683
202301	11110	종로구	9166	경복궁역_1	161.0	36.0	55.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	505875	451965	512.551
202303	11110	종로구	9166	경복궁역_1	161.0	36.0	56.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	420523	401215	361.635
202303	11110	종로구	9166	경복궁역_1	161.0	36.0	56.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	368878	351095	351.153
202306	11110	종로구	9166	경복궁역_1	161.0	36.0	56.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	323359	310399	433.734
202307	11110	종로구	9166	경복궁역_1	161.0	37.0	56.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	263384	251912	513.582
202308	11110	종로구	9166	경복궁역_1	7.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	460403	62660	1479.057
202309	11110	종로구	9166	경복궁역_1	7.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	342162	36487	1302.625
202310	11110	종로구	9166	경복궁역_1	161.0	37.0	56.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	322190	320805	331.914
202311	11110	종로구	9166	경복궁역_1	161.0	37.0	56.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	372973	371695	360.016
202312	11110	종로구	9166	경복궁역_1	163.0	38.0	57.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	389193	388109	441.04
202401	11110	종로구	9166	경복궁역_1	163.0	38.0	57.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	438590	437613	521.81
202402	11110	종로구	9166	경복궁역_1	163.0	38.0	57.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	470766	469755	471.369
202403	11110	종로구	9166	경복궁역_1	163.0	38.0	57.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	387051	385705	395.818
202404	11110	종로구	9166	경복궁역_1	163.0	38.0	57.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	395125	395125	354.644
202405	11110	종로구	9166	경복궁역_1	163.0	38.0	57.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	336604	335585	351.091
202406	11110	종로구	9166	경복궁역_1	163.0	38.0	57.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	319871	318724	446.909
202407	11110	종로구	9166	경복궁역_1	163.0	39.0	57.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	275113	274128	515.953
202408	11110	종로구	9166	경복궁역_1	163.0	39.0	57.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	279931	279032	636.941
202409	11110	종로구	9166	경복궁역_1	7.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	362678	42452	1442.632
202410	11110	종로구	9166	경복궁역_1	7.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	350650	22672	957.119
202207	11110	종로구	9167	경복궁역_2	142.0	30.0	64.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	242618	136861	513.942
202208	11110	종로구	9167	경복궁역_2	142.0	30.0	64.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	262308	125474	554.021
202210	11110	종로구	9167	경복궁역_2	142.0	30.0	65.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	221820	191665	372.419
202210	11110	종로구	9167	경복궁역_2	142.0	30.0	65.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	221820	191665	372.419
202211	11110	종로구	9167	경복궁역_2	142.0	30.0	65.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	280833	211557	361.578
202212	11110	종로구	9167	경복궁역_2	142.0	30.0	65.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	451427	265844	477.3
202301	11110	종로구	9167	경복궁역_2	141.0	30.0	64.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	548668	370760	593.455
202301	11110	종로구	9167	경복궁역_2	141.0	30.0	64.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	465240	341876	537.688
202303	11110	종로구	9167	경복궁역_2	142.0	30.0	65.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	257122	223739	382.065
202303	11110	종로구	9167	경복궁역_2	142.0	30.0	65.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	230402	196553	357.132
202306	11110	종로구	9167	경복궁역_2	142.0	30.0	65.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	254384	183293	474.868
202307	11110	종로구	9167	경복궁역_2	142.0	31.0	65.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	256517	137899	552.002
202308	11110	종로구	9167	경복궁역_2	4.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	20.368
